CODIGO;COMPANHIA;EQUIPA;LINHA DE ATENDIMENTO;OFER;OFER;OFER;OFER;OFER;OFER;OFER;ATEND %;ATEND %;ATEND %;ATEND %;ATEND %;TMA;TMA;TMA;TMA;TMA;TMA;TMA;SLA;SLA;SLA;SLA;SLA;SLA;SLA;LOGADO;LOGADO;LOGADO;LOGADO;LOGADO;LOGADO;LOGADO;PAUSAS;PAUSAS;PAUSAS;PAUSAS;PAUSAS
CODIGO;COMPANHIA;EQUIPA;LINHA DE ATENDIMENTO;REAL;PREV;PREV;SA;SA;MA;MA;REAL;SA;SA;MA;MA;REAL;PREV;PREV;SA;SA;MA;MA;REAL;PREV;PREV;SA;SA;MA;MA;REAL;PREV;PREV;SA;SA;MA;MA;REAL;SA;SA;MA;MA
39;TRANQUILIDADE;CLIENTES;LINHA CLIENTES - SALES CALLBACK;0;9;-;0;0;0;0;0%;0;0%;9;-;0;9;-;0;0;0;0;0%;9;-;0;0%;0;0%;0;9;-;0;0;0;0;0;0;0;0;0
17;LOGO;CLIENTES;GES AUTO ESCLAR;5093;5;3015;7;0;7;0;100%;7;0%;9;-;498;5;427;7;0;7;0;92%;1;70%;7;0%;7;0%;14;6;97;7;0;7;0;15;7;15;7;0
43;LOGO;SINISTROS;PARC SIN;1;5;0;7;0;7;0;100%;7;0%;9;-;333;9;-;7;0;7;0;1%;9;-;7;0%;7;0%;1;6;21;7;0;7;0;0;0;0;0;0
10;TRANQUILIDADE;COMERCIAL;LINHA CLIENTES - SALES;3197;5;2867;7;0;7;0;100%;7;0%;9;-;509;2;597;7;0;7;0;17%;6;70%;7;0%;7;0%;12;6;119;7;0;7;0;0;0;0;0;0
37;LOGO;SINISTROS;CALLBACK SONAE SIN;0;0;0;0;0;0;0;0%;0;0%;9;-;0;9;-;0;0;0;0;0%;9;-;0;0%;0;0%;0;6;21;0;0;0;0;0;0;0;0;0
59;TRANQUILIDADE;SINISTROS;TRIAGEM CLÍNICA;195;5;0;7;0;7;0;100%;7;0%;9;-;722;9;-;7;0;7;0;1%;9;-;7;0%;7;0%;3;6;21;7;0;7;0;0;0;0;0;0
14;LOGO;COMERCIAL;COM CASA;115;5;0;7;0;7;0;100%;7;0%;9;-;597;9;-;7;0;7;0;1%;9;-;7;0%;7;0%;2;6;21;7;0;7;0;0;0;0;0;0
7;TRANQUILIDADE;CLIENTES;SERVICING GENÉRICO;2148;2;4615;7;0;7;0;100%;7;0%;9;-;469;2;512;7;0;7;0;9%;6;70%;7;0%;7;0%;14;6;141;7;0;7;0;0;0;0;0;0
56;TRANQUILIDADE;AGENTES;NÃO ASSISTIDO PRODUÇÃO;874;2;952;7;0;7;0;100%;7;0%;9;-;578;5;567;7;0;7;0;5%;6;70%;7;0%;7;0%;8;6;59;7;0;7;0;0;0;0;0;0
20;LOGO;SINISTROS;SIN ESCLAR;3644;2;3743;7;0;7;0;100%;7;0%;9;-;728;5;634;7;0;7;0;20%;6;70%;7;0%;7;0%;14;6;142;7;0;7;0;12;7;12;7;0
40;LOGO;COMERCIAL;PARC COM;0;0;0;0;0;0;0;0%;0;0%;9;-;0;9;-;0;0;0;0;0%;9;-;0;0%;0;0%;0;6;21;0;0;0;0;0;0;0;0;0
15;LOGO;COMERCIAL;COM VIDA;48;5;0;7;0;7;0;100%;7;0%;9;-;534;9;-;7;0;7;0;1%;9;-;7;0%;7;0%;3;6;21;7;0;7;0;0;0;0;0;0
45;TRANQUILIDADE;CLIENTES;SERVICING I - CALLBACK;0;9;-;0;0;0;0;0%;0;0%;9;-;0;9;-;0;0;0;0;0%;9;-;0;0%;0;0%;0;9;-;0;0;0;0;0;0;0;0;0
21;LOGO;SINISTROS;SIN PERIT;723;2;792;7;0;7;0;100%;7;0%;9;-;775;5;675;7;0;7;0;5%;6;70%;7;0%;7;0%;8;6;62;7;0;7;0;1;7;1;7;0
