"received","answered","total","QUEUE_NAME","date","hour","week_day","week","month"
1,1,686,"CALLBACK SIN","2021-10-12",9,1,41,10
3,3,1761,"COM AUTO","2021-10-12",9,1,41,10
13,13,6047,"GES AUTO ALT","2021-10-12",9,1,41,10
11,11,5358,"GES AUTO ESCLAR","2021-10-12",9,1,41,10
4,4,1167,"GES OUTRO ESCLAR","2021-10-12",9,1,41,10
17,17,10544,"SIN ESCLAR","2021-10-12",9,1,41,10
5,5,3601,"SIN PERIT","2021-10-12",9,1,41,10
1,1,362,"SIN QIV","2021-10-12",9,1,41,10
3,3,387,"SIN SUPORTE","2021-10-12",9,1,41,10
1,1,211,"ASSISTIDOS PRODUÇÃO","2021-10-11",9,0,41,10
2,2,607,"ASSISTIDOS PRODUÇÃO","2021-10-11",10,0,41,10
2,2,995,"ASSISTIDOS PRODUÇÃO","2021-10-11",11,0,41,10
2,2,1263,"ASSISTIDOS PRODUÇÃO","2021-10-11",12,0,41,10
1,1,799,"ASSISTIDOS PRODUÇÃO","2021-10-11",13,0,41,10
11,11,7718,"ASSISTIDOS SINISTROS","2021-10-11",9,0,41,10
12,12,6561,"ASSISTIDOS SINISTROS","2021-10-11",10,0,41,10
12,12,7302,"ASSISTIDOS SINISTROS","2021-10-11",11,0,41,10
4,4,3739,"ASSISTIDOS SINISTROS","2021-10-11",12,0,41,10
1,0,0,"CALLBACK COM","2021-10-11",9,0,41,10
4,4,914,"CALLBACK SIN","2021-10-11",9,0,41,10
1,1,183,"CALLBACK SIN","2021-10-11",11,0,41,10
1,1,36,"CALLBACK SIN","2021-10-11",13,0,41,10
1,0,0,"CALLBACK SIN","2021-10-11",17,0,41,10
3,3,798,"CALLBACK SIN","2021-10-11",18,0,41,10
1,1,958,"CALLBACK SIN","2021-10-11",20,0,41,10
2,1,9,"CALLBACK SIN","2021-10-11",21,0,41,10
9,9,5221,"COM AUTO","2021-10-11",8,0,41,10
10,10,5973,"COM AUTO","2021-10-11",9,0,41,10
11,11,7720,"COM AUTO","2021-10-11",10,0,41,10
15,15,9569,"COM AUTO","2021-10-11",11,0,41,10
12,12,6534,"COM AUTO","2021-10-11",12,0,41,10
8,8,2496,"COM AUTO","2021-10-11",13,0,41,10
12,12,6552,"COM AUTO","2021-10-11",14,0,41,10
9,9,6215,"COM AUTO","2021-10-11",15,0,41,10
7,7,2606,"COM AUTO","2021-10-11",16,0,41,10
10,10,8431,"COM AUTO","2021-10-11",17,0,41,10
2,2,972,"COM AUTO","2021-10-11",18,0,41,10
4,4,4662,"COM AUTO","2021-10-11",19,0,41,10
1,1,83,"COM CASA","2021-10-11",9,0,41,10
3,3,1785,"COM CASA","2021-10-11",11,0,41,10
1,1,1583,"COM CASA","2021-10-11",14,0,41,10
1,1,825,"COM CASA","2021-10-11",18,0,41,10
2,2,1402,"COM SAÚDE","2021-10-11",10,0,41,10
1,1,82,"COM VIDA","2021-10-11",9,0,41,10
1,1,147,"COM VIDA","2021-10-11",11,0,41,10
1,1,51,"COM VIDA","2021-10-11",17,0,41,10
25,25,16833,"GES AUTO ALT","2021-10-11",8,0,41,10
16,16,8082,"GES AUTO ALT","2021-10-11",9,0,41,10
21,21,11883,"GES AUTO ALT","2021-10-11",10,0,41,10
15,15,6398,"GES AUTO ALT","2021-10-11",11,0,41,10
18,18,11115,"GES AUTO ALT","2021-10-11",12,0,41,10
12,12,6572,"GES AUTO ALT","2021-10-11",13,0,41,10
15,15,7889,"GES AUTO ALT","2021-10-11",14,0,41,10
19,19,11920,"GES AUTO ALT","2021-10-11",15,0,41,10
19,19,9674,"GES AUTO ALT","2021-10-11",16,0,41,10
17,17,10949,"GES AUTO ALT","2021-10-11",17,0,41,10
5,5,3749,"GES AUTO ALT","2021-10-11",18,0,41,10
4,4,1617,"GES AUTO ALT","2021-10-11",19,0,41,10
27,27,11361,"GES AUTO ESCLAR","2021-10-11",8,0,41,10
27,27,8880,"GES AUTO ESCLAR","2021-10-11",9,0,41,10
23,23,11107,"GES AUTO ESCLAR","2021-10-11",10,0,41,10
23,23,13898,"GES AUTO ESCLAR","2021-10-11",11,0,41,10
11,11,9264,"GES AUTO ESCLAR","2021-10-11",12,0,41,10
17,17,11176,"GES AUTO ESCLAR","2021-10-11",13,0,41,10
17,17,7366,"GES AUTO ESCLAR","2021-10-11",14,0,41,10
14,14,7683,"GES AUTO ESCLAR","2021-10-11",15,0,41,10
12,12,6657,"GES AUTO ESCLAR","2021-10-11",16,0,41,10
8,8,4957,"GES AUTO ESCLAR","2021-10-11",17,0,41,10
10,10,4022,"GES AUTO ESCLAR","2021-10-11",18,0,41,10
7,7,2501,"GES AUTO ESCLAR","2021-10-11",19,0,41,10
1,1,75,"GES OUTRO ALT","2021-10-11",8,0,41,10
1,1,705,"GES OUTRO ALT","2021-10-11",9,0,41,10
1,1,1604,"GES OUTRO ALT","2021-10-11",10,0,41,10
2,2,1296,"GES OUTRO ALT","2021-10-11",11,0,41,10
1,1,919,"GES OUTRO ALT","2021-10-11",13,0,41,10
1,1,189,"GES OUTRO ALT","2021-10-11",14,0,41,10
2,2,1800,"GES OUTRO ALT","2021-10-11",15,0,41,10
1,1,308,"GES OUTRO ALT","2021-10-11",16,0,41,10
1,1,1354,"GES OUTRO ALT","2021-10-11",18,0,41,10
1,1,790,"GES OUTRO ALT","2021-10-11",19,0,41,10
4,4,2252,"GES OUTRO ESCLAR","2021-10-11",9,0,41,10
2,2,1114,"GES OUTRO ESCLAR","2021-10-11",10,0,41,10
3,3,1728,"GES OUTRO ESCLAR","2021-10-11",11,0,41,10
